Code du Département;Date;Nb actuellement hospitalisés;Nb actuellement en soins intensifs;Total retour à domicile;Total Décès;Code région;Code ISO 3166 de la zone;Nom région;Nom Département;Sexe;Geo Point;Nb Quotidien Admis Hospitalisation;Nb Quotidien Admis Réanimation;Nb Quotidien Décès;Nb Quotidien Retour à Domicile
35;2020-03-20;4;2;10;0;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-03-23;22;1;9;4;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;7;2;2;0
29;2020-03-29;20;2;16;1;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-03-31;61;18;35;6;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
56;2020-03-31;45;4;42;12;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
56;2020-04-01;133;32;86;32;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;27;6;2;5
22;2020-04-02;59;16;16;9;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;16;9;3;3
29;2020-04-08;102;43;66;11;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;14;1;2;4
22;2020-04-10;70;11;54;17;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;11;0;1;5
22;2020-04-12;73;12;61;20;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;9;0;2;2
29;2020-04-13;45;8;37;6;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-04-20;70;5;87;29;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-23;47;14;71;20;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-04-25;91;13;151;35;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-04-26;29;2;60;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
22;2020-05-01;25;2;69;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-05-02;27;5;54;14;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-05-05;132;12;301;75;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;1;0;0;5
35;2020-03-19;4;2;9;0;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-03-21;11;0;3;0;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
22;2020-04-23;54;6;114;24;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;6;0;0;10
35;2020-04-26;91;13;152;35;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-05-01;46;4;135;25;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;1;0;0;5
29;2020-05-01;27;5;54;14;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
56;2020-05-01;68;12;161;49;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
56;2020-05-03;123;14;298;82;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;3;0;1;3
35;2020-05-04;79;10;172;39;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
29;2020-03-22;19;2;9;2;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;6;0;1;3
56;2020-03-27;61;18;32;15;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
29;2020-03-28;28;9;12;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
35;2020-03-28;36;12;23;5;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
22;2020-03-31;39;5;10;4;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;4;0;1;1
29;2020-04-01;33;15;20;4;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-04-04;31;12;10;5;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
35;2020-04-05;53;9;31;7;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-07;94;42;62;9;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;2;1;0;3
29;2020-04-07;60;33;29;6;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
56;2020-04-09;91;30;87;32;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
29;2020-04-10;110;40;78;12;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;10;1;1;9
29;2020-04-14;73;29;48;12;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
56;2020-04-19;118;25;234;73;53;FRA;Bretagne;Morbihan;Tous;47.8441455862,-2.8088066223;2;0;1;0
35;2020-03-22;6;2;10;0;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
22;2020-03-23;9;1;3;1;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;2;0;0;0
22;2020-03-24;3;0;1;1;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
56;2020-03-26;60;17;26;13;53;FRA;Bretagne;Morbihan;Homme;47.8441455862,-2.8088066223;;;;
35;2020-03-30;34;3;24;1;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-01;56;17;41;7;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;13;6;0;4
56;2020-04-01;57;5;46;13;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-03;30;5;11;4;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
22;2020-04-04;31;5;15;5;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-06;93;40;60;9;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;3;0;0;1
29;2020-04-06;36;9;30;3;53;FRA;Bretagne;Finistère;Femme;48.2628706879,-4.05692098846;;;;
35;2020-04-07;154;44;104;23;53;FRA;Bretagne;Ille-et-Vilaine;Tous;48.1584949366,-1.63554809717;19;1;3;18
35;2020-04-10;79;10;46;14;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
56;2020-04-11;49;3;90;24;53;FRA;Bretagne;Morbihan;Femme;47.8441455862,-2.8088066223;;;;
22;2020-04-12;39;9;28;11;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
35;2020-04-12;84;10;55;15;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
35;2020-04-13;86;11;55;15;53;FRA;Bretagne;Ille-et-Vilaine;Femme;48.1584949366,-1.63554809717;;;;
29;2020-04-24;47;13;71;20;53;FRA;Bretagne;Finistère;Homme;48.2628706879,-4.05692098846;;;;
22;2020-04-29;27;2;65;9;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
29;2020-04-30;64;14;128;37;53;FRA;Bretagne;Finistère;Tous;48.2628706879,-4.05692098846;0;0;0;0
22;2020-05-04;52;4;140;26;53;FRA;Bretagne;Côtes-d'Armor;Tous;48.4390612443,-2.86206319142;4;0;0;4
22;2020-05-05;24;2;70;16;53;FRA;Bretagne;Côtes-d'Armor;Homme;48.4390612443,-2.86206319142;;;;
22;2020-03-18;0;0;2;0;53;FRA;Bretagne;Côtes-d'Armor;Femme;48.4390612443,-2.86206319142;;;;
35;2020-03-19;12;6;6;0;53;FRA;Bretagne;Ille-et-Vilaine;Homme;48.1584949366,-1.63554809717;;;;
